scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,LL-Softmax,0.00035866238677763893,0.00014786234881378535,0.003260145024743113,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Softmax,7.129135197958616e-05,2.8638044555387326e-06,0.003247628263637209,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Remax,0.00013762094207968342,0.00022501085274552539,0.006897759920583895,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,Probit,0.48150278568477456,0.004155734632227658,,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,LL-Softmax,0.0001130800655331006,8.365329823770118e-05,0.0032467564581269504,-0.20122574706652302,0.3764299974647241,0.04322053359712831,0.030112202442353544
Random - Small Var,MM-Softmax,5.1843237369284674e-05,3.100978652388422e-06,0.003235701261902141,-0.20122574706652302,0.3764299974647241,0.04322053359712831,0.030112202442353544
Random - Small Var,MM-Remax,0.00048317276279053145,0.0014143198190590097,0.006985857180425521,-0.20122574706652302,0.3764299974647241,0.04322053359712831,0.030112202442353544
Random - Small Var,Probit,0.32736028055296906,0.004898909525887044,,-0.20122574706652302,0.3764299974647241,0.04322053359712831,0.030112202442353544
Random - Small Var,LL-Softmax,0.0003167004678427669,0.00013549929935349547,0.0038116464052469078,-0.11156330276304297,0.3390017368722035,0.04107480531757184,0.022196000231704757
Random - Small Var,MM-Softmax,5.718940215916346e-05,7.652054801715e-06,0.0037941245180945567,-0.11156330276304297,0.3390017368722035,0.04107480531757184,0.022196000231704757
Random - Small Var,MM-Remax,0.0013454945684422508,0.002127536649743882,0.011742478656000033,-0.11156330276304297,0.3390017368722035,0.04107480531757184,0.022196000231704757
Random - Small Var,Probit,0.3587197569350052,0.005486009369722691,,-0.11156330276304297,0.3390017368722035,0.04107480531757184,0.022196000231704757
Random - Small Var,LL-Softmax,0.000500474307094867,0.00035129464313737467,0.005155448110928788,-0.009875279459119224,0.4990997365105998,0.05495872101345739,0.02553831607598735
Random - Small Var,MM-Softmax,3.4483696907879056e-05,9.876886652146968e-06,0.00512197099169065,-0.009875279459119224,0.4990997365105998,0.05495872101345739,0.02553831607598735
Random - Small Var,MM-Remax,0.00014161580182854992,0.0008315794353219533,0.010631357343182874,-0.009875279459119224,0.4990997365105998,0.05495872101345739,0.02553831607598735
Random - Small Var,Probit,0.3959559231975796,0.00626969954554283,,-0.009875279459119224,0.4990997365105998,0.05495872101345739,0.02553831607598735
Random - Small Var,LL-Softmax,0.0003030783526682741,0.00022598553927229178,0.00579077456831223,-0.02935187857225669,0.4216651495424754,0.0642549509795812,0.025896294245776323
Random - Small Var,MM-Softmax,4.76642462142185e-05,1.1358519058722504e-05,0.005759222999095358,-0.02935187857225669,0.4216651495424754,0.0642549509795812,0.025896294245776323
Random - Small Var,MM-Remax,0.00047855339385107144,0.001784396305237816,0.015425180756779597,-0.02935187857225669,0.4216651495424754,0.0642549509795812,0.025896294245776323
Random - Small Var,Probit,0.391594451711022,0.007725205104491491,,-0.02935187857225669,0.4216651495424754,0.0642549509795812,0.025896294245776323
Random - Small Var,LL-Softmax,0.0002657959193216396,0.00013369941346129876,0.003666692407501909,0.06966411784898466,0.3981932244931972,0.042269672418777195,0.029682943177333217
Random - Small Var,MM-Softmax,4.039833699809869e-05,4.609032423253933e-06,0.00364988663616484,0.06966411784898466,0.3981932244931972,0.042269672418777195,0.029682943177333217
Random - Small Var,MM-Remax,0.00019686686780063435,0.0004560965985868387,0.007833626912381984,0.06966411784898466,0.3981932244931972,0.042269672418777195,0.029682943177333217
Random - Small Var,Probit,0.4256783665796699,0.005153743088118242,,0.06966411784898466,0.3981932244931972,0.042269672418777195,0.029682943177333217
Random - Small Var,LL-Softmax,0.0006293719476045255,0.0004916767198509517,0.004745348232316487,0.19924838400733075,0.6663461899958043,0.05057607943051251,0.026852534428122854
Random - Small Var,MM-Softmax,3.8685732166458124e-05,1.1537177353680026e-05,0.004711747805308737,0.19924838400733075,0.6663461899958043,0.05057607943051251,0.026852534428122854
Random - Small Var,MM-Remax,7.427719147658384e-05,0.00016606426229673108,0.006769220153112031,0.19924838400733075,0.6663461899958043,0.05057607943051251,0.026852534428122854
Random - Small Var,Probit,0.4604464397732472,0.004907476999420895,,0.19924838400733075,0.6663461899958043,0.05057607943051251,0.026852534428122854
