scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,LL-Softmax,0.0003077229490411226,0.00018400359069322442,4.4186659752876686e-05,0.12928452883033267,0.5652236731578543,0.03900512631394262,0.019507204532564618
Random - Small Var,MM-Softmax,2.737944040699103e-05,6.070795892022271e-06,4.978908818321123e-05,0.12928452883033267,0.5652236731578543,0.03900512631394262,0.019507204532564618
Random - Small Var,MM-Remax,0.00012774023356453747,0.00012692620565155402,6.150944973590508e-05,0.12928452883033267,0.5652236731578543,0.03900512631394262,0.019507204532564618
Random - Small Var,Probit,0.00012080591188469921,1.8505795086691235e-05,,0.12928452883033267,0.5652236731578543,0.03900512631394262,0.019507204532564618
Random - Small Var,LL-Softmax,0.0003725380613426296,0.0002876084207120458,8.796113924280711e-05,-0.00286329595902616,0.42490641076335545,0.06777689487153297,0.022503250948710866
Random - Small Var,MM-Softmax,3.7013933609617024e-05,1.691467294076276e-05,8.265075790870771e-05,-0.00286329595902616,0.42490641076335545,0.06777689487153297,0.022503250948710866
Random - Small Var,MM-Remax,0.0004671558495413835,0.001090215089718663,0.0003547253424828334,-0.00286329595902616,0.42490641076335545,0.06777689487153297,0.022503250948710866
Random - Small Var,Probit,0.00011161780220673989,3.394074893481869e-05,,-0.00286329595902616,0.42490641076335545,0.06777689487153297,0.022503250948710866
Random - Small Var,LL-Softmax,0.0002909636160393733,0.00019879950998467406,5.5257955279795964e-05,0.004420589499469854,0.2886505450258779,0.06145959152425819,0.025708216560141904
Random - Small Var,MM-Softmax,6.051077596247595e-05,1.0774988610241095e-05,5.1448639582816165e-05,0.004420589499469854,0.2886505450258779,0.06145959152425819,0.025708216560141904
Random - Small Var,MM-Remax,0.0007052970024716998,0.0023068710230747928,0.0005685386205112853,0.004420589499469854,0.2886505450258779,0.06145959152425819,0.025708216560141904
Random - Small Var,Probit,0.00013672789330275992,3.373628585299418e-05,,0.004420589499469854,0.2886505450258779,0.06145959152425819,0.025708216560141904
Random - Small Var,LL-Softmax,0.00037916604658034674,0.00017487441924980078,6.852440250920844e-05,0.2281547612986689,0.27936807062514724,0.05317707243697341,0.0319159040443342
Random - Small Var,MM-Softmax,5.307523468436048e-05,8.849382789618667e-06,4.8235558629484625e-05,0.2281547612986689,0.27936807062514724,0.05317707243697341,0.0319159040443342
Random - Small Var,MM-Remax,0.0002266850373634578,0.0005517284834814678,0.0003292844696419794,0.2281547612986689,0.27936807062514724,0.05317707243697341,0.0319159040443342
Random - Small Var,Probit,9.590364608211415e-05,2.4253675352102248e-05,,0.2281547612986689,0.27936807062514724,0.05317707243697341,0.0319159040443342
Random - Small Var,LL-Softmax,0.0002997256340753006,0.00011912172951586727,7.399631290888756e-05,-0.026441269907956345,0.4024973066893492,0.0426407434685589,0.028724543974008997
Random - Small Var,MM-Softmax,6.212700740493224e-05,4.309339208281931e-06,6.56518632479165e-05,-0.026441269907956345,0.4024973066893492,0.0426407434685589,0.028724543974008997
Random - Small Var,MM-Remax,0.00024523332781239455,0.0006295135617058643,0.00027134883575399284,-0.026441269907956345,0.4024973066893492,0.0426407434685589,0.028724543974008997
Random - Small Var,Probit,0.0001682160063454688,2.7593321291814146e-05,,-0.026441269907956345,0.4024973066893492,0.0426407434685589,0.028724543974008997
Random - Small Var,LL-Softmax,0.0005078483660369129,0.0002327342260872389,8.191664333589268e-05,-0.077122149065635,0.43908812866838026,0.03421557175978575,0.026167054097809
Random - Small Var,MM-Softmax,4.577794902369397e-05,8.292751520646967e-06,4.335218604659534e-05,-0.077122149065635,0.43908812866838026,0.03421557175978575,0.026167054097809
