,,mae_mu_a,mae_mu_a,mae_mu_a,mae_mu_a,mae_sigma_a_sq,mae_sigma_a_sq,mae_sigma_a_sq,mae_sigma_a_sq,mae_cov_z_a,mae_cov_z_a,mae_cov_z_a,mae_cov_z_a
Competing - Medium Var,Probit,0.215751,0.048849,0.123323,0.319724,0.022799,0.0074,0.009604,0.042301,,,,
Competing - Small Var,LL-Softmax,0.000995,0.000614,2.3e-05,0.002574,0.002921,0.001916,0.000283,0.010996,0.002677,0.001067,0.000459,0.005883
Competing - Small Var,MM-Remax,1.4e-05,1e-05,1e-06,5.5e-05,2e-06,2e-06,0.0,8e-06,0.000956,0.000415,0.000151,0.002252
Competing - Small Var,MM-Softmax,6e-05,4.6e-05,2e-06,0.000206,5.2e-05,3.2e-05,2e-06,0.00015,0.002639,0.00105,0.000458,0.005802
Competing - Small Var,Probit,0.167195,0.048056,0.102255,0.243599,0.00027,0.000186,1.5e-05,0.000743,,,,
Dominant - Large Var,LL-Softmax,0.067391,0.015022,0.028235,0.095809,6109614.773093,9877571.51503,2152.88974,41051859.624067,0.140058,0.086451,0.04329,0.463765
Dominant - Large Var,MM-Remax,0.003499,0.001242,0.001304,0.006807,0.010535,0.00202,0.005937,0.014678,0.251588,0.032718,0.17328,0.326097
Dominant - Large Var,MM-Softmax,0.10919,0.025825,0.035795,0.138995,12929.523307,19837.253007,5.25881,101639.983571,0.472398,0.113474,0.186044,0.655574
Dominant - Large Var,Probit,0.168886,0.02463,0.114561,0.230312,0.087133,0.011897,0.061853,0.114272,,,,
Dominant - Medium Var,LL-Softmax,0.019858,0.009914,0.002767,0.045516,7.048704,9.712941,0.112114,38.473187,0.026771,0.014076,0.005435,0.068242
Dominant - Medium Var,MM-Remax,0.00226,0.00195,0.000132,0.009121,0.003231,0.002343,0.00016,0.011477,0.032987,0.014032,0.007901,0.067885
Dominant - Medium Var,MM-Softmax,0.014528,0.012309,0.000243,0.054024,0.078198,0.122487,0.000431,0.717326,0.049925,0.024179,0.009057,0.118525
Dominant - Medium Var,Probit,0.07449,0.024536,0.023912,0.160096,0.017856,0.007745,0.004301,0.047174,,,,
Dominant - Small Var,LL-Softmax,0.000442,0.000318,2.3e-05,0.001366,0.009022,0.00513,0.000746,0.019533,0.000502,0.000307,6.9e-05,0.001358
Dominant - Small Var,MM-Remax,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06
Dominant - Small Var,MM-Softmax,8e-06,8e-06,1e-06,3.5e-05,3e-06,4e-06,0.0,2e-05,0.000504,0.000308,6.9e-05,0.001368
Dominant - Small Var,Probit,0.026716,0.013401,0.002706,0.076317,0.000164,0.000186,0.0,0.001168,,,,
Equal Positive - Large Var,LL-Softmax,0.042923,0.009547,0.016836,0.066972,280136.623598,213733.493353,4567.745062,980181.934102,0.714875,0.041387,0.610279,0.807701
Equal Positive - Large Var,MM-Remax,0.000222,7.2e-05,0.000107,0.000381,0.000909,0.000329,0.0004,0.001646,0.186458,0.021658,0.140301,0.231206
Equal Positive - Large Var,MM-Softmax,0.098323,0.016225,0.056256,0.133913,151.228702,166.707106,3.901242,878.899505,0.355457,0.024861,0.296487,0.412988
Equal Positive - Large Var,Probit,0.740455,0.047744,0.649229,0.820996,0.084285,0.022666,0.042441,0.124295,,,,
Equal Positive - Medium Var,LL-Softmax,0.015069,0.003125,0.006058,0.024762,0.225044,0.08356,0.033979,0.507874,0.173894,0.020217,0.114417,0.217325
Equal Positive - Medium Var,MM-Remax,0.000121,4.4e-05,3.4e-05,0.000272,0.00017,0.000102,3.5e-05,0.000437,0.053663,0.011208,0.030735,0.078108
Equal Positive - Medium Var,MM-Softmax,0.018847,0.004475,0.004961,0.032384,0.0257,0.006946,0.007158,0.039609,0.129139,0.013865,0.098358,0.163273
Equal Positive - Medium Var,Probit,0.852161,0.030922,0.780136,0.89285,0.014857,0.010324,0.001446,0.04086,,,,
Equal Positive - Small Var,LL-Softmax,0.000263,5.1e-05,0.000124,0.000384,0.00013,2.4e-05,6.7e-05,0.000188,0.004713,0.000785,0.002746,0.006545
Equal Positive - Small Var,MM-Remax,1.8e-05,7e-06,9e-06,4.7e-05,0.0,0.0,0.0,1e-06,0.001626,0.000448,0.000794,0.00267
Equal Positive - Small Var,MM-Softmax,5.1e-05,1.4e-05,2.8e-05,8.9e-05,7e-06,2e-06,2e-06,1.4e-05,0.004689,0.00078,0.002736,0.006515
Equal Positive - Small Var,Probit,0.894825,0.006434,0.874902,0.899953,2.6e-05,4.3e-05,0.0,0.000182,,,,
Random - Large Var,LL-Softmax,0.042683,0.010096,0.024665,0.073335,304362.176997,513436.514115,9539.808916,3808386.151528,0.687489,0.043285,0.574435,0.770124
Random - Large Var,MM-Remax,0.000665,0.000161,0.000297,0.001123,0.006367,0.000693,0.004603,0.008306,0.303853,0.012581,0.265311,0.33117
Random - Large Var,MM-Softmax,0.098199,0.017071,0.054399,0.130199,186.007308,212.143602,3.707699,1173.248598,0.359677,0.031273,0.283878,0.434984
Random - Large Var,Probit,0.400123,0.021552,0.343087,0.462324,0.161031,0.002496,0.152651,0.166639,,,,
Random - Medium Var,LL-Softmax,0.016443,0.004559,0.005584,0.027162,0.295167,0.186486,0.026258,1.024882,0.165505,0.023211,0.087255,0.205888
Random - Medium Var,MM-Remax,0.001279,0.000457,0.000487,0.002679,0.006035,0.001502,0.002765,0.010144,0.137756,0.014883,0.090485,0.168623
Random - Medium Var,MM-Softmax,0.019057,0.00568,0.004534,0.032815,0.030457,0.013124,0.004291,0.070233,0.125092,0.016073,0.07682,0.158591
Random - Medium Var,Probit,0.399906,0.038132,0.314886,0.499415,0.093559,0.008209,0.063412,0.110556,,,,
Random - Small Var,LL-Softmax,0.000356,0.000154,0.000113,0.000883,0.000212,0.000106,5.9e-05,0.000574,0.004335,0.000863,0.002571,0.006149
Random - Small Var,MM-Remax,0.000457,0.000644,4.4e-05,0.003763,0.001051,0.001262,6.2e-05,0.006656,0.00977,0.003136,0.003489,0.016775
Random - Small Var,MM-Softmax,4.9e-05,1.5e-05,2.4e-05,0.0001,8e-06,4e-06,2e-06,2.2e-05,0.004311,0.000856,0.00256,0.006119
Random - Small Var,Probit,0.403366,0.049274,0.292555,0.537422,0.005924,0.001067,0.004044,0.009173,,,,
