scenario,method,mae_mu_a,mae_sigma_a_sq,mae_cov_z_a,mean_mu_z,std_mu_z,mean_sigma_z_sq,std_sigma_z_sq
Random - Small Var,LL-Softmax,0.00032912138535882014,0.00014688946117008013,4.776150334719535e-05,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Softmax,5.227558325225298e-05,5.274170144533251e-06,5.80457691301738e-05,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,MM-Remax,0.000108118408985172,0.00021485312288600173,0.0001913130931756433,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,Probit,5.544554873143648e-05,1.165820516893472e-05,,0.22403055584937812,0.34295296514724755,0.0339398300211884,0.01442651636676118
Random - Small Var,LL-Softmax,0.0004783145823746782,0.00024978669134549636,8.682505773374026e-05,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,MM-Softmax,5.273543333322583e-05,1.0042391263749916e-05,5.3630660416799453e-05,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,MM-Remax,0.0004907027058374685,0.0019031697706613656,0.00027828298963885543,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,Probit,0.00011021319714617575,3.249876070346331e-05,,-0.11092178233472719,0.3860656258921066,0.04494007042106798,0.025311004816463343
Random - Small Var,LL-Softmax,0.0004593565799832021,0.0001981599224665689,6.89469512051602e-05,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,MM-Softmax,2.9994802581795322e-05,1.1636904642279945e-05,3.0261556208234954e-05,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,MM-Remax,0.0013462530496730798,0.002346913528740286,0.0005966140181913222,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,Probit,0.00016432338531094867,3.9683873964134745e-05,,-0.11200623366622316,0.3877387344783367,0.046739320415113465,0.034045364400692966
Random - Small Var,LL-Softmax,0.00030794538220799486,0.00022601784738631277,5.706870475699014e-05,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,MM-Softmax,2.6765632400126137e-05,1.1320285121486112e-05,8.159023458085841e-05,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,MM-Remax,0.0003840676519607088,0.001409656966005545,0.0005303560812379663,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,Probit,9.722096497377375e-05,3.2109609325905786e-05,,-0.04233582557657933,0.4073952767059511,0.061847928193672144,0.020442096601189657
Random - Small Var,LL-Softmax,0.0005384467808735354,0.0002704463911249246,7.889798761905472e-05,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,MM-Softmax,4.306814625230672e-05,8.913179711083179e-06,4.3156101717099985e-05,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,MM-Remax,0.0006147313396667209,0.0011472994905963462,0.00040863175232510316,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,Probit,0.0001810540325110417,3.6779485978486675e-05,,-0.14042732549327516,0.5795297136273948,0.05039778576579686,0.03188467213126582
Random - Small Var,LL-Softmax,0.00025157666310013577,0.0001318302942260985,9.10963527143458e-05,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,MM-Softmax,1.609498659282671e-05,5.745793121461726e-06,2.4175078655088822e-05,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,MM-Remax,0.001207783953167058,0.0022693237170667417,0.0004086113957711404,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,Probit,0.00016377660313123752,3.5688422280254216e-05,,-0.0745956964673344,0.30951076844410536,0.049711299214886054,0.027372250691701457
Random - Small Var,LL-Softmax,0.0005139221275990366,0.0003416412437597307,6.0380026478219446e-05,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,MM-Softmax,4.837798984198075e-05,6.099670620863458e-06,4.617706220736115e-05,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,MM-Remax,0.00011135213458746512,0.00021201092330434354,8.473411157545187e-05,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,Probit,0.00015628654932810308,2.401711771124862e-05,,0.06893698245537819,0.568548087614226,0.04622456710850302,0.023574540114810985
Random - Small Var,LL-Softmax,0.0002207185370071571,0.00018252953906092818,8.483782309530074e-05,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,MM-Softmax,8.47072363664117e-05,7.276567862383206e-06,0.00010100639958699437,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,MM-Remax,0.0008416193659421884,0.0012131112999898253,0.00036512561127619806,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,Probit,0.00022377720445499323,5.218479524806554e-05,,-0.14747203330688816,0.42191177856235085,0.058956610217029894,0.02849605737635577
Random - Small Var,LL-Softmax,0.000403207610475248,0.00013712829953018926,7.29500888297891e-05,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
Random - Small Var,MM-Softmax,4.964696126146459e-05,7.828223900305345e-06,4.695640447429898e-05,-0.027380269183058782,0.352924317592801,0.03908808138713048,0.030951568241587162
